python,java,javascript,sql,machine_learning,data_analysis,web_development,cybersecurity,cloud,devops,ui_ux,projects,assessment_score,portfolio_score,career
1,0,0,1,0,0,1,0,0,0,0,4,85,88,Software Developer
0,1,1,1,0,0,1,0,0,0,0,5,88,90,Software Developer
1,1,0,1,0,0,1,0,0,0,0,3,80,82,Software Developer
1,0,1,0,0,0,1,0,0,0,0,4,83,85,Software Developer
0,1,1,1,0,0,1,0,0,0,0,6,91,92,Software Developer
1,0,1,1,0,0,1,0,0,0,0,5,89,91,Full Stack Developer
0,1,1,1,0,0,1,0,0,0,0,4,85,87,Full Stack Developer
1,1,1,0,0,0,1,0,0,0,0,6,92,94,Full Stack Developer
0,1,1,1,0,0,1,0,0,0,0,3,81,83,Full Stack Developer
1,0,1,1,0,0,1,0,0,0,0,5,87,89,Full Stack Developer
1,0,0,1,1,1,0,0,0,0,0,4,90,91,Data Scientist
1,0,0,1,1,1,0,0,0,0,0,5,92,94,Data Scientist
1,1,0,1,1,1,0,0,0,0,0,6,95,96,Data Scientist
1,0,0,1,1,1,0,0,0,0,0,3,84,86,Data Scientist
1,1,0,1,1,1,0,0,0,0,0,5,89,91,Data Scientist
1,0,0,1,0,1,0,0,0,0,0,3,82,84,Data Analyst
0,0,0,1,0,1,0,0,0,0,0,4,86,88,Data Analyst
1,0,0,1,0,1,0,0,0,0,0,5,90,91,Data Analyst
0,1,0,1,0,1,0,0,0,0,0,3,80,82,Data Analyst
1,0,0,1,0,1,0,0,0,0,0,6,93,94,Data Analyst
1,0,0,1,1,0,0,0,0,0,0,4,87,89,Machine Learning Engineer
1,0,0,1,1,1,0,0,0,0,0,5,91,93,Machine Learning Engineer
1,1,0,1,1,0,0,0,0,0,0,6,94,95,Machine Learning Engineer
1,0,0,1,1,1,0,0,0,0,0,3,84,86,Machine Learning Engineer
1,1,0,1,1,1,0,0,0,0,0,5,90,92,Machine Learning Engineer
1,0,0,0,1,0,0,0,0,0,0,4,86,88,AI Engineer
1,1,0,0,1,0,0,0,0,0,0,5,90,92,AI Engineer
1,0,1,0,1,0,0,0,0,0,0,6,93,94,AI Engineer
1,0,0,1,1,0,0,0,0,0,0,3,82,85,AI Engineer
1,1,0,1,1,0,0,0,0,0,0,5,89,91,AI Engineer
0,0,0,0,0,0,0,1,0,0,0,3,84,86,Cybersecurity Analyst
0,1,0,1,0,0,0,1,0,0,0,4,88,89,Cybersecurity Analyst
1,1,0,0,0,0,0,1,0,0,0,5,91,92,Cybersecurity Analyst
0,0,1,1,0,0,0,1,0,0,0,3,81,83,Cybersecurity Analyst
1,0,0,1,0,0,0,1,0,0,0,6,93,94,Cybersecurity Analyst
1,0,0,0,0,0,0,0,1,0,0,4,85,87,Cloud Engineer
0,1,0,0,0,0,0,0,1,0,0,5,89,91,Cloud Engineer
1,1,0,1,0,0,0,0,1,0,0,6,93,94,Cloud Engineer
1,0,1,0,0,0,0,0,1,0,0,3,81,84,Cloud Engineer
0,1,1,1,0,0,0,0,1,0,0,5,90,92,Cloud Engineer
1,0,0,0,0,0,0,0,1,1,0,4,87,89,DevOps Engineer
0,1,1,0,0,0,0,0,1,1,0,5,91,92,DevOps Engineer
1,1,0,1,0,0,0,0,1,1,0,6,94,95,DevOps Engineer
1,0,1,0,0,0,0,0,1,1,0,3,82,84,DevOps Engineer
0,1,1,1,0,0,0,0,1,1,0,5,89,91,DevOps Engineer
0,0,1,0,0,0,1,0,0,0,1,3,82,85,UI/UX Designer
0,0,1,0,0,0,1,0,0,0,1,4,86,89,UI/UX Designer
0,0,0,0,0,0,1,0,0,0,1,5,90,92,UI/UX Designer
1,0,1,0,0,0,1,0,0,0,1,6,93,95,UI/UX Designer
0,0,1,0,0,0,1,0,0,0,1,4,88,90,UI/UX Designer
